name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,4.918032786885246e-06,4.615384615384615e-06,4.2857142857142855e-06,3.973509933774834e-06,3.7037037037037037e-06,8.771929824561403e-06,8.42696629213483e-06,8.152173913043478e-06,7.936507936507936e-06,7.731958762886599e-06,7.462686567164179e-06,7.142857142857143e-06,6.818181818181818e-06,6.493506493506494e-06,1.4522821576763485e-05,1.394422310756972e-05,1.3513513513513513e-05,1.3157894736842106e-05,1.282051282051282e-05,1.25e-05,1.2152777777777777e-05,1.1784511784511784e-05
Albania,,,,,,,,,,,,,,,,,,,,,,
Algeria,2.3166023166023166e-06,2.255639097744361e-06,2.2058823529411763e-06,2.158273381294964e-06,2.112676056338028e-06,2.0761245674740485e-06,2.040816326530612e-06,2.0066889632107025e-06,3.960396039603961e-06,3.896103896103896e-06,3.846153846153846e-06,9.49367088607595e-06,9.375e-06,9.259259259259259e-06,9.146341463414634e-06,1.801801801801802e-05,1.7751479289940828e-05,1.749271137026239e-05,1.7191977077363898e-05,1.6901408450704224e-05,,
Andorra,,,,,,,,,,,,,,,,,,,,,,
Angola,4.9180327868852456e-05,9.523809523809524e-05,0.00013846153846153847,0.00018656716417910448,0.0002391304347826087,0.0003006993006993007,0.0003605442176870748,0.0004172185430463576,0.0004709677419354839,0.0005157232704402516,0.0005609756097560975,0.000588235294117647,0.000625,0.0006593406593406593,0.0006349206349206349,0.000663265306122449,0.0006403940886699507,0.000619047619047619,0.0005504587155963303,0.0004888888888888889,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Argentina,9.174311926605505e-05,9.63855421686747e-05,0.00010089020771513354,0.00010557184750733137,0.00010982658959537572,0.0001,9.03954802259887e-05,8.659217877094972e-05,8.287292817679558e-05,8.19672131147541e-05,7.277628032345013e-05,7.466666666666666e-05,7.387862796833773e-05,7.571801566579635e-05,8.010335917312661e-05,8.184143222506395e-05,8.080808080808081e-05,8e-05,7.425742574257426e-05,7.107843137254902e-05,,
Armenia,1.694915254237288e-05,1.7094017094017095e-05,1.7441860465116278e-05,1.785714285714286e-05,1.8292682926829268e-05,1.8633540372670807e-05,1.892744479495268e-05,1.9169329073482428e-05,1.9292604501607717e-05,4.854368932038835e-05,4.8859934853420195e-05,4.9180327868852456e-05,0.00011551155115511551,0.00011589403973509934,0.00011666666666666667,0.0001174496644295302,0.00011824324324324324,0.00011945392491467577,0.00012027491408934708,0.00012110726643598615,0.00012152777777777777,0.00012152777777777777
Australia,2.058823529411765e-05,3.468208092485549e-05,3.4285714285714284e-05,3.389830508474576e-05,3.35195530726257e-05,3.3149171270718233e-05,3.278688524590164e-05,1.8918918918918918e-05,1.871657754010695e-05,1.8518518518518518e-05,7.853403141361257e-06,7.772020725388602e-06,7.692307692307692e-06,7.614213197969543e-06,7.537688442211055e-06,7.4257425742574256e-06,7.281553398058253e-06,7.177033492822966e-06,7.042253521126761e-06,6.912442396313364e-06,6.787330316742082e-06,6.666666666666667e-06
Austria,7.772020725388602e-06,7.722007722007722e-06,7.662835249042145e-06,7.604562737642585e-06,7.547169811320755e-06,7.509386733416771e-06,7.481296758104738e-06,7.471980074719801e-06,7.462686567164179e-06,7.453416149068323e-06,7.434944237918216e-06,7.4074074074074075e-06,7.380073800738008e-06,7.334963325183374e-06,7.299270072992701e-06,7.272727272727272e-06,7.2463768115942025e-06,7.220216606498195e-06,7.1942446043165465e-06,7.168458781362007e-06,7.134363852556481e-06,7.092198581560284e-06
Azerbaijan,8.287292817679558e-06,8.152173913043478e-06,8.032128514056226e-06,7.9155672823219e-06,7.8125e-06,7.712082262210796e-06,7.633587786259541e-06,7.566204287515763e-06,7.509386733416771e-06,7.453416149068323e-06,1.8472906403940885e-05,1.8292682926829268e-05,1.8115942028985507e-05,4.186602870813397e-05,4.142011834319527e-05,4.098360655737705e-05,4.055619930475087e-05,4.013761467889908e-05,3.968253968253968e-05,3.923766816143498e-05,3.875968992248062e-05,3.825136612021858e-05
Bahamas,0.0013671875,0.0013409961685823754,0.002255639097744361,0.002214022140221402,0.002173913043478261,0.002142857142857143,0.002112676056338028,0.0020905923344947735,0.0020689655172413794,0.0020408163265306124,0.0020134228187919465,0.0019801980198019802,0.001941747572815534,0.0018987341772151898,0.0018575851393188853,0.00182370820668693,0.0010416666666666667,0.0010233918128654971,0.0010028653295128939,0.0009859154929577464,0.0009695290858725762,0.0009536784741144414
Bahrain,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,5.660377358490566e-07,5.504587155963303e-07,5.405405405405406e-07,5.263157894736842e-07,5.172413793103448e-07,5.042016806722689e-07,4.958677685950413e-07,4.838709677419355e-07,4.761904761904762e-07,4.6511627906976743e-07,4.545454545454545e-07,4.4776119402985074e-07,4.3795620437956206e-07,4.316546762589928e-07,4.2553191489361704e-07,8.391608391608391e-07,8.275862068965517e-07,8.163265306122449e-07,8.053691275167785e-07,8e-07,,
Barbados,0.00023076923076923076,0.00022988505747126436,0.00022900763358778625,0.00022813688212927757,0.00022727272727272727,0.00022641509433962264,0.0002255639097744361,0.00022471910112359551,0.00022388059701492538,0.00022304832713754646,0.00022222222222222223,0.00022140221402214023,0.00022140221402214023,0.00022058823529411765,0.00021978021978021978,0.00021897810218978101,0.00021818181818181818,0.0002173913043478261,0.00021660649819494585,0.0002158273381294964,0.00021428571428571427,0.00021352313167259787
Belarus,5.882352941176471e-06,5.882352941176471e-06,5.882352941176471e-06,5.882352941176471e-06,5.882352941176471e-06,5.940594059405941e-06,5.940594059405941e-06,5.940594059405941e-06,6e-06,6.006006006006006e-06,6.042296072507553e-06,6.0790273556231e-06,1.5290519877675842e-05,3.080082135523614e-05,3.099173553719008e-05,3.118503118503119e-05,3.131524008350731e-05,6.289308176100629e-05,6.309148264984228e-05,0.00010537407797681771,,
